juris_name,In list,cnty_name
DEL REY OAKS,CIT.108,Monterey
MILLBRAE,CIT.255,San Mateo
SAN BERNARDINO,CIT.352,San Bernardino
GUADALUPE,CIT.164,Santa Barbara
AUBURN,CIT.024,Placer
UKIAH,CIT.430,Mendocino
SOLVANG,CIT.401,Santa Barbara
MILL VALLEY,CIT.254,Marin
SUTTER COUNTY,#N/A,Sutter
TWENTYNINE PALMS,CIT.429,San Bernardino
SAN JUAN BAUTISTA,CIT.364,San Benito
LOMITA,CIT.230,Los Angeles
LAKE COUNTY,#N/A,Lake
SHASTA COUNTY,#N/A,Shasta
VACAVILLE,CIT.433,Solano
LOOMIS,T.009,Placer
IMPERIAL,CIT.184,Imperial
VISTA,CIT.440,San Diego
NEWMAN,CIT.278,Stanislaus
COMPTON,CIT.090,Los Angeles
SAN DIEGO,CIT.356,San Diego
DIXON,CIT.113,Solano
SAN FERNANDO,CIT.358,Los Angeles
SANTA CRUZ,CIT.380,Santa Cruz
FAIRFAX,T.007,Marin
CARPINTERIA,CIT.067,Santa Barbara
RICHMOND,CIT.337,Contra Costa
LAGUNA NIGUEL,CIT.211,Orange
WILLITS,CIT.457,Mendocino
LIVE OAK,CIT.225,Sutter
SEASIDE,CIT.391,Monterey
MENDOCINO COUNTY,#N/A,Mendocino
FARMERSVILLE,CIT.136,Tulare
SANTA PAULA,CIT.384,Ventura
DOS PALOS,CIT.115,Merced
ISLETON,CIT.193,Sacramento
LAKEWOOD,CIT.216,Los Angeles
PALMDALE,CIT.299,Los Angeles
WASCO,CIT.443,Kern
EL CERRITO,CIT.124,Contra Costa
SAN DIMAS,CIT.357,Los Angeles
HEALDSBURG,CIT.171,Sonoma
GOLETA,CIT.157,Santa Barbara
CANYON LAKE,CIT.063,Riverside
CATHEDRAL,#N/A,Riverside
LA HABRA,CIT.200,Orange
SONOMA,CIT.402,Sonoma
SAN PABLO,CIT.371,Contra Costa
SAN RAFAEL,CIT.372,Marin
RIVERSIDE COUNTY,#N/A,Riverside
FOUNTAIN VALLEY,CIT.146,Orange
PIEDMONT,CIT.310,Alameda
MANTECA,CIT.243,San Joaquin
PACIFICA,CIT.296,San Mateo
NORCO,CIT.280,Riverside
PLUMAS COUNTY,#N/A,Plumas
PICO RIVERA,CIT.309,Los Angeles
NEVADA COUNTY,#N/A,Nevada
SHASTA LAKE,CIT.395,Shasta
CORONA,CIT.094,Riverside
LA MIRADA,CIT.203,Los Angeles
BEAUMONT,CIT.032,Riverside
DUNSMUIR,CIT.119,Siskiyou
TURLOCK,CIT.427,Stanislaus
MENDOTA,CIT.250,Fresno
SAN MARINO,CIT.369,Los Angeles
IRVINE,CIT.191,Orange
CORCORAN,CIT.092,Kings
DIAMOND BAR,CIT.111,Los Angeles
SAN RAMON,CIT.373,Contra Costa
KINGS COUNTY,#N/A,Kings
TRACY,CIT.423,San Joaquin
PETALUMA,CIT.308,Sonoma
SAN BERNARDINO COUNTY,#N/A,San Bernardino
GROVER BEACH,CIT.163,San Luis Obispo
COSTA MESA,CIT.096,Orange
SOLANO COUNTY,#N/A,Solano
VENTURA COUNTY,#N/A,Ventura
REDWOOD CITY,CIT.334,San Mateo
CLOVIS,CIT.082,Fresno
BELVEDERE,CIT.037,Marin
WINTERS,CIT.459,Yolo
MAMMOTH LAKES,CIT.241,Mono
TEMECULA,CIT.419,Riverside
HAYWARD,CIT.170,Alameda
CARLSBAD,CIT.065,San Diego
EL CAJON,CIT.122,San Diego
LAGUNA BEACH,CIT.209,Orange
COMMERCE,CIT.089,Los Angeles
TRINIDAD,CIT.424,Humboldt
MONTAGUE,CIT.260,Siskiyou
HESPERIA,CIT.175,San Bernardino
GLENN COUNTY,#N/A,Glenn
SAN JUAN CAPISTRANO,CIT.365,Orange
REDONDO BEACH,CIT.333,Los Angeles
ANGELS CAMP,CIT.013,Calaveras
IMPERIAL BEACH,CIT.185,San Diego
MONTEREY COUNTY,#N/A,Monterey
ALAMEDA,CIT.004,Alameda
SAN MATEO,CIT.370,San Mateo
LOS GATOS,T.011,Santa Clara
BALDWIN PARK,CIT.029,Los Angeles
INDIO,CIT.187,Riverside
FRESNO,CIT.149,Fresno
GALT,CIT.151,Sacramento
HERCULES,CIT.173,Contra Costa
CHINO HILLS,CIT.074,San Bernardino
BUELLTON,CIT.051,Santa Barbara
VISALIA,CIT.439,Tulare
YUBA COUNTY,#N/A,Yuba
REDDING,CIT.331,Shasta
COALINGA,CIT.084,Fresno
TRINITY COUNTY,#N/A,Trinity
MONTCLAIR,CIT.261,San Bernardino
BAKERSFIELD,CIT.028,Kern
CALIFORNIA CITY,CIT.056,Kern
POWAY,CIT.324,San Diego
DAVIS,CIT.106,Yolo
AVENAL,CIT.026,Kings
COLFAX,CIT.085,Placer
TUSTIN,CIT.428,Orange
NAPA,CIT.273,Napa
MENLO PARK,CIT.252,San Mateo
SELMA,CIT.393,Fresno
WALNUT,CIT.441,Los Angeles
LASSEN COUNTY,#N/A,Lassen
SARATOGA,CIT.387,Santa Clara
LAFAYETTE,CIT.208,Contra Costa
GRASS VALLEY,CIT.160,Nevada
HUMBOLDT COUNTY,#N/A,Humboldt
SAN JOAQUIN COUNTY,#N/A,San Joaquin
OAKDALE,CIT.283,Stanislaus
SACRAMENTO COUNTY,#N/A,Sacramento
KERMAN,CIT.196,Fresno
BUTTE COUNTY,#N/A,Butte
IMPERIAL COUNTY,#N/A,Imperial
COVINA,CIT.098,Los Angeles
WALNUT CREEK,CIT.442,Contra Costa
LARKSPUR,CIT.218,Marin
PARLIER,CIT.303,Fresno
SCOTTS VALLEY,CIT.389,Santa Cruz
FREMONT,CIT.148,Alameda
DOWNEY,CIT.116,Los Angeles
ESCONDIDO,CIT.131,San Diego
OROVILLE,CIT.293,Butte
ALAMEDA COUNTY,#N/A,Alameda
DEL NORTE COUNTY,#N/A,Del Norte
COACHELLA,CIT.083,Riverside
OAKLEY,CIT.285,Contra Costa
SANTA FE SPRINGS,CIT.381,Los Angeles
AVALON,CIT.025,Los Angeles
HAWAIIAN GARDENS,CIT.168,Los Angeles
EL SEGUNDO,CIT.126,Los Angeles
BRADBURY,CIT.046,Los Angeles
SOLEDAD,CIT.400,Monterey
PORT HUENEME,CIT.321,Ventura
GONZALES,CIT.158,Monterey
CALIPATRIA,CIT.059,Imperial
COLMA,CIT.086,San Mateo
EL DORADO COUNTY,#N/A,El Dorado
LYNWOOD,CIT.238,Los Angeles
CALEXICO,CIT.056,Imperial
LOMA LINDA,CIT.229,San Bernardino
DELANO,CIT.109,Kern
PACIFIC GROVE,CIT.295,Monterey
CYPRESS,CIT.103,Orange
SONOMA COUNTY,#N/A,Sonoma
ANDERSON,CIT.012,Shasta
TAFT,CIT.416,Kern
HALF MOON BAY,CIT.166,San Mateo
AGOURA HILLS,CIT.003,Los Angeles
BELL,CIT.033,Los Angeles
WOODLAND,CIT.461,Yolo
KINGSBURG,CIT.198,Fresno
SONORA,CIT.403,Tuolumne
NAPA COUNTY,#N/A,Napa
PALO ALTO,CIT.300,Santa Clara
KING CITY,CIT.197,Monterey
MERCED COUNTY,#N/A,Merced
WILLOWS,CIT.458,Glenn
WEST HOLLYWOOD,CIT.448,Los Angeles
MISSION VIEJO,CIT.257,Orange
BREA,CIT.048,Orange
MANHATTAN BEACH,CIT.242,Los Angeles
EUREKA,CIT.133,Humboldt
VICTORVILLE,CIT.437,San Bernardino
CORNING,CIT.093,Tehama
FOSTER CITY,CIT.145,San Mateo
MADERA COUNTY,#N/A,Madera
RIVERSIDE,CIT.343,Riverside
SUTTER CREEK,CIT.415,Amador
PORTOLA VALLEY,T.015,San Mateo
HURON,CIT.183,Fresno
ALISO VIEJO,CIT.007,Orange
